"Параметр визита, ур. 1","Параметр визита, ур. 2","Параметр визита, ур. 3","Параметр визита, ур. 4","Параметр визита, ур. 5","Визиты","Посетители","Роботность","Сумма параметров визитов","Среднее параметров визитов","Количество параметров визитов","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","","","55922","33705","0.003254533099674547","222338","0.09110465697562926","2440468","0.05572046779442796","1.9032223454096777","00:27:11"
"chosenBackground","0","Не определено","Не определено","Не определено","45055","28092","0.003462434801908778","0","0.0","62386","0.06365553212739984","1.8532682277216734","00:25:41"
"getBanner","1","Не определено","Не определено","Не определено","9835","7261","0.003355363497712252","33803","1.0","33803","0.0034570411794611084","2.0878495170310116","00:46:52"
"startLevel-0","1","Не определено","Не определено","Не определено","9494","8896","0.005266484095218032","15969","1.0","15969","0.1917000210659364","1.3048240994312197","00:10:03"
"showRewarded","1","Не определено","Не определено","Не определено","7476","4847","0.002541466024612092","96501","1.0","96501","0.0016051364365971107","1.972980203317282","00:46:57"
"badWord","сот","Не определено","Не определено","Не определено","5021","4700","0.0031866162119099776","0","0.0","7009","3.983270264887472E-4","2.118701453893647","00:55:02"
"badWord","ра","Не определено","Не определено","Не определено","4800","4367","0.002708333333333334","0","0.0","7423","6.25E-4","2.238958333333333","00:55:43"
"payload","1","Не определено","Не определено","Не определено","4707","3472","0.005948587210537497","5488","1.0","5488","0.07541958784788613","1.4820480135967709","00:28:28"
"chosenBackground","-1","Не определено","Не определено","Не определено","4587","2484","0.002616088947024199","-6539","-1.0","6539","0.020492696751689563","2.1621975147155004","00:31:16"
"badWord","тар","Не определено","Не определено","Не определено","3998","3598","0.002001000500250125","0","0.0","5807","5.002501250625312E-4","2.1220610305152574","01:01:33"
"badWord","ик","Не определено","Не определено","Не определено","3959","3724","0.003031068451629199","0","0.0","5382","5.051780752715333E-4","1.8196514271280626","00:56:25"
"badWord","ос","Не определено","Не определено","Не определено","3441","3275","0.004359197907585004","0","0.0","4760","5.812263876780006E-4","2.2563208369659984","00:52:12"
